voortuin_diepte,inpandige_ruimte_oppervlakte,kamers_text,achtertuin_diepte,postcode,soort_huis,woningtype,voortuin_text,title,eind_datum_erfpacht,cv_ketel,bouwjaar,voorzieningen,aangeboden_sinds,huisnummer,soort_woning,insertion_date,eigendomssituatie_text,ligging_tuin_text,achterom,bouwperiode_text,periodieke_bijdrage_text,badkamervoorzieningen,gelegen_op_text,zonneterras,inpandige_ruimte_text,funda_id,straat,service_kosten_text,keurmerken,patio_diepte,voortuin_oppervlakte,zonneterras_diepte,soort_bouw,zijtuin,zijtuin_oppervlakte,soort_appartement,schuur_of_berging,periodieke_bijdrage,parkeergelegenheid,vliering,balkon_of_dakterras,specifiek,vraagprijs,woonoppervlakte_text,verkoopdatum,zonneterras_text,looptijd,zonneterras_oppervlakte,externe_bergruimte_oppervlakte,inhoud,garage_capaciteit_text,externe_bergruimte_text,bouwperiode_end,garage_capaciteit,isolatie,aangeboden_sinds_text,achtertuin,page_nr,eigendomssituatie,voortuin_breedte,verdieping,zolder,vve_bijdrage_text,buitenruimte_oppervlakte,zonneterras_breedte,voortuin,balkon,aparte_toiletten,verkocht,warm_water,verwarming,kelder,tuin_text,woonoppervlakte,ligging_tuin,tuin_rondom,zijtuin_text,frans_balkon,patio_text,gemeente,dakterras,kamers,achtertuin_oppervlakte,ligging,url,slaapkamers,postcode_regio,perceel_oppervlakte_text,badkamers,garage_text,bouwjaar_text,zijtuin_diepte,id,vraagprijs_text,woonlagen_text,patio_oppervlakte,toegankelijkheid,perceel_oppervlakte,inhoud_text,buitenruimte_text,lasten_text,kosten_koper,badkamers_text,plaats,status,zijtuin_breedte,bouwperiode_start,aanvaarding,verkoopdatum_text,patio_breedte,kosten_erfpacht,achtertuin_text,woonlagen,energielabel_text,achtertuin_breedte,soort_dak,postcode_wijk,energielabel,patio
,,6 kamers (5 slaapkamers),,1071 RP,,appartement,,Verkocht: Frans van Mierisstraat 109 -2 1071 RP Amsterdam [funda],,,1911,tv kabel,2016-06-17 00:00:00,109,bovenwoning (dubbel bovenhuis),2016-09-12 12:05:27.848000,volle eigendom  volle eigendom,,False,,,ligbad en 2 douches,3e woonlaag,False,,49884554,Frans,,,,,,bestaande bouw,False,,bovenwoning (dubbel bovenhuis),,,parkeervergunningen,False,"dakterras aanwezig, balkon aanwezig en frans balkon aanwezig",,1300000.0,224 m²,2016-07-13 00:00:00,,3 weken,,,650.0,,,1911,,,17-6-2016,False,6,volle eigendom,,3,False,,,,False,True,2,True,c.v.-ketel,c.v.-ketel,False,,224.0,,False,,True,,Amsterdam,True,6,,aan rustige weg en in woonwijk,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49884554-frans-van-mierisstraat-109-2/,5,10,,2,,1911,,1071_109_49884554,€ 1.300.000,3 woonlagen,,,,650 m³,,,True,2 badkamers en 2 aparte toiletten,False,verkocht,,1911,,13-7-2016,,0,,3,g,,plat dak bedekt met bitumineuze dakbedekking,1071,g,False
,,3 kamers (2 slaapkamers),,1072 JN,,appartement,,Verkocht: Lutmastraat 41 - III 1072 JN Amsterdam [funda],2045-11-01 00:00:00,,1920,,2016-07-09 00:00:00,41,bovenwoning (appartement),2016-09-12 12:05:27.884000,erfpacht (á € 380 per jaar tot einddatum erfpacht)  erfpacht (einddatum erfpacht:  01-11-2045),,False,,,douche,4e woonlaag,False,,49819468,Lutmastraat,,,,,,bestaande bouw,False,,bovenwoning (appartement),,60.0,betaald parkeren en parkeervergunningen,False,dakterras aanwezig en balkon aanwezig,,350000.0,72 m²,2016-07-29 00:00:00,,3 weken,,,200.0,,,1920,,,9-7-2016,False,6,erfpacht,,4,False,€ 60 per maand,34.0,,False,True,1,True,c.v.-ketel,c.v.-ketel,False,,72.0,,False,,False,,Amsterdam,True,3,,aan rustige weg en in woonwijk,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49819468-lutmastraat-41-iii/,2,10,,1,,1920,,1072_41_49819468,€ 350.000,1 woonlaag,,,,200 m³,34 m²,€ 380 per jaar,True,1 badkamer en 1 apart toilet,False,verkocht,,1920,,29-7-2016,,380,,1,,,plat dak bedekt met bitumineuze dakbedekking,1072,,False
,,3 kamers (2 slaapkamers),80.0,1056 KL,,appartement,,Verkocht: Geuzenkade 37 hs 1056 KL Amsterdam [funda],2058-02-28 00:00:00,,1933,mechanische ventilatie en tv kabel,2016-08-02 00:00:00,37,benedenwoning (appartement),2016-09-12 12:05:27.905000,erfpacht (á € 831 per jaar tot einddatum erfpacht met optie tot afkopen)  gemeentelijke erfpacht (einddatum erfpacht:  28-02-2058),gelegen op het westen,False,,,ligbad en douche,begane grond,False,,49849058,Geuzenkade,,,,,,bestaande bouw,False,,benedenwoning (appartement),,81.0,parkeervergunningen,False,,,475000.0,79 m²,2016-08-09 00:00:00,,8 dagen,,,225.0,,,1933,,dubbel glas,2-8-2016,True,6,erfpacht,,0,False,€ 81 per maand,,,False,False,1,True,c.v.-ketel,c.v.-ketel,False,achtertuin,79.0,W,False,,False,,Amsterdam,False,3,4246.0,"aan water, aan rustige weg, in woonwijk, vrij uitzicht, beschutte ligging en aan vaarwater",http://www.funda.nl/koop/verkocht/amsterdam/appartement-49849058-geuzenkade-37-hs/,2,10,,1,,1933,,1056_37_49849058,€ 475.000,1 woonlaag,,,,225 m³,,€ 831 per jaar met optie tot afkopen,True,1 badkamer en 1 apart toilet,False,verkocht,,1933,,9-8-2016,,831,"4.246 m² (80m diep en 53,08m breed)",1,,53.08,plat dak bedekt met bitumineuze dakbedekking,1056,,False
,,3 kamers (2 slaapkamers),,1056 SK,,appartement,,Verkocht: Vespuccistraat 87 III 1056 SK Amsterdam [funda],2056-12-31 00:00:00,,1925,,2016-07-02 00:00:00,87,bovenwoning (appartement),2016-09-12 12:05:27.929000,erfpacht (afgekocht tot 31-12-2056 tot einddatum erfpacht met optie tot afkopen)  gemeentelijke erfpacht (einddatum erfpacht:  31-12-2056),,False,,,douche en toilet,4e woonlaag,False,,49809568,Vespuccistraat,,,,,,bestaande bouw,False,,bovenwoning (appartement),,136.0,parkeervergunningen,False,balkon aanwezig,monumentaal pand,245000.0,58 m²,2016-07-18 00:00:00,,2 weken,,,173.0,,,1925,,"dakisolatie, vloerisolatie en dubbel glas",2-7-2016,False,6,erfpacht,,4,False,€ 136 per maand,,,False,True,,True,c.v.-ketel,c.v.-ketel,False,,58.0,,False,,False,,Amsterdam,False,3,,aan rustige weg en in woonwijk,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49809568-vespuccistraat-87-iii/,2,10,,1,,1925,,1056_87_49809568,€ 245.000,1 woonlaag,,,,173 m³,,afgekocht tot 31-12-2056,True,1 badkamer,False,verkocht,,1925,,18-7-2016,,0,,1,,,plat dak bedekt met bitumineuze dakbedekking,1056,,False
,,3 kamers (2 slaapkamers),,1074 ER,,appartement,,Verkocht: Rustenburgerstraat 55 B 1074 ER Amsterdam [funda],,,1912,tv kabel,2016-07-10 00:00:00,55,bovenwoning (appartement),2016-09-12 12:05:27.969000,volle eigendom  volle eigendom,gelegen op het zuiden,False,,,douche en toilet,2e woonlaag,True,,49819402,Rustenburgerstraat,,,,,3.7,bestaande bouw,False,,bovenwoning (appartement),,58.0,parkeervergunningen,False,dakterras aanwezig,,335000.0,56 m²,2016-07-27 00:00:00,"28 m² (3,7m diep en 7,5m breed)",2 weken,28.0,,155.0,,,1912,,,10-7-2016,False,6,volle eigendom,,2,False,€ 58 per maand,28.0,7.5,False,False,,True,c.v.-ketel,c.v.-ketel,False,zonneterras,56.0,Z,False,,False,,Amsterdam,True,3,,aan rustige weg en in woonwijk,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49819402-rustenburgerstraat-55-b/,2,10,,1,,1912,,1074_55_49819402,€ 335.000,1 woonlaag,,,,155 m³,28 m²,,True,1 badkamer,False,verkocht,,1912,,27-7-2016,,0,,1,g,,plat dak bedekt met bitumineuze dakbedekking,1074,g,False
,,4 kamers (3 slaapkamers),,1024 AJ,,appartement,,Verkocht: Jisperveldstraat 179 1024 AJ Amsterdam [funda],2050-01-01 00:00:00,,1968,tv kabel,2009-10-26 00:00:00,179,bovenwoning,2016-09-12 12:05:27.988000,erfpacht (afgekocht tot 1-1-2050 met optie tot afkopen)  erfpacht,,False,,,ligbad en douche,11e woonlaag,False,,47506444,Jisperveldstraat,,,,,,bestaande bouw,False,,bovenwoning,box,300.0,,False,,,239000.0,120 m²,2016-03-24 00:00:00,,76½ maand,,3.0,350.0,,3 m²,1968,,muurisolatie en vloerisolatie,26-10-2009,False,6,erfpacht,,11,False,€ 300 per maand,10.0,,False,False,1,True,centrale voorziening,blokverwarming,False,,120.0,,False,,False,,Amsterdam,False,4,,aan park en vrij uitzicht,http://www.funda.nl/koop/verkocht/amsterdam/appartement-47506444-jisperveldstraat-179/,3,10,,1,,1968,,1024_179_47506444,€ 239.000,11 woonlagen,,,,350 m³,10 m²,afgekocht tot 01-01-2050,True,1 badkamer en 1 apart toilet,False,verkocht,,1968,,24-3-2016,,0,,11,e,,plat dak bedekt met bitumineuze dakbedekking,1024,e,False
,,6 kamers (4 slaapkamers),,1058 LZ,"bungalow, geschakelde woning (semi-bungalow)",huis,,Verkocht: Hodenpijlkade 46 1058 LZ Amsterdam [funda],2045-11-30 00:00:00,,1972,,2016-04-16 00:00:00,46,"bungalow, geschakelde woning (semi-bungalow)",2016-09-12 12:05:28.013000,eigendom belast met erfpacht (afgekocht tot 30-11-2045 tot einddatum erfpacht met optie tot afkopen)  gemeentelijk eigendom belast met erfpacht (einddatum erfpacht:  30-11-2045),,False,,,ligbad en douche,,False,,49716125,Hodenpijlkade,,,,,,bestaande bouw,False,,,,,,False,,,975000.0,174 m²,2016-06-29 00:00:00,,2 maanden,,,525.0,,,1972,,gedeeltelijk dubbel glas,16-4-2016,False,6,erfpacht,,,False,,,,False,False,2,True,c.v.-ketel,c.v.-ketel,False,,174.0,,False,,False,,Amsterdam,False,6,,"aan water, aan rustige weg, in woonwijk, vrij uitzicht, beschutte ligging en aan vaarwater",http://www.funda.nl/koop/verkocht/amsterdam/huis-49716125-hodenpijlkade-46/,4,10,348 m²,2,,1972,,1058_46_49716125,€ 975.000,2 woonlagen,,,348.0,525 m³,,afgekocht tot 30-11-2045,True,2 badkamers en 2 aparte toiletten,False,verkocht,,1972,,29-6-2016,,0,,2,d,,plat dak bedekt met bitumineuze dakbedekking,1058,d,False
,4.0,3 kamers (2 slaapkamers),,1069 ED,,appartement,,Verkocht: Langswater 406 1069 ED Amsterdam [funda],,,1960,lift,2016-03-26 00:00:00,406,galerijflat (appartement),2016-09-12 12:05:28.070000,zie akte  zie akte,,False,,,douche,,False,4 m²,49784220,Langswater,,,,,,bestaande bouw,False,,galerijflat (appartement),inpandig,204.0,,False,balkon aanwezig,,144500.0,65 m²,2016-07-27 00:00:00,,4 maanden,,,185.0,,,1960,,gedeeltelijk dubbel glas,26-3-2016,False,11,,,,False,€ 204 per maand,6.0,,False,True,1,True,geiser,blokverwarming,False,,65.0,,False,,False,,Amsterdam,False,3,,in woonwijk,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49784220-langswater-406/,2,10,,1,,1960,,1069_406_49784220,€ 144.500,1 woonlaag,,,,185 m³,6 m²,,True,1 badkamer en 1 apart toilet,False,verkocht,,1960,,27-7-2016,,,,1,e,,plat dak,1069,e,False
,,2 kamers (1 slaapkamer),,1016 XC,,appartement,,Verkocht: Passeerdersstraat 28 A 1016 XC Amsterdam [funda],,,1971,,2016-06-21 00:00:00,28,bovenwoning (appartement),2016-09-12 12:05:28.102000,volle eigendom  volle eigendom,,False,,,douche,2e woonlaag,False,,49884098,Passeerdersstraat,,,,,,bestaande bouw,False,,bovenwoning (appartement),inpandig,185.0,,False,balkon aanwezig,,310000.0,53 m²,2016-07-19 00:00:00,,4 weken,,2.0,165.0,,2 m²,1971,,dakisolatie en muurisolatie,21-6-2016,False,11,volle eigendom,,2,False,€ 185 per maand,7.0,,False,True,1,True,gasboiler,blokverwarming,False,,53.0,,False,,False,,Amsterdam,False,2,,"aan rustige weg, in centrum en in woonwijk",http://www.funda.nl/koop/verkocht/amsterdam/appartement-49884098-passeerdersstraat-28-a/,1,10,,1,,1971-1980,,1016_28_49884098,€ 310.000,1 woonlaag,,,,165 m³,7 m²,,True,1 badkamer en 1 apart toilet,False,verkocht,,1971,,19-7-2016,,0,,1,b,,,1016,b,False
,,3 kamers (2 slaapkamers),,1068 PH,,appartement,,Verkocht: Oeverpad 154 1068 PH Amsterdam [funda],2054-12-01 00:00:00,,2006,mechanische ventilatie en tv kabel,2015-11-18 00:00:00,154,portiekwoning (appartement),2016-09-12 12:05:28.136000,eigendom belast met erfpacht (afgekocht tot 1-12-2054 met optie tot afkopen)  gemeentelijk eigendom belast met erfpacht,,False,,,,1e woonlaag,False,,49667802,Oeverpad,,,,,,bestaande bouw,False,,portiekwoning (appartement),,107.0,parkeergarage,False,,,239000.0,85 m²,2016-04-14 00:00:00,,4½ maand,,,230.0,,,2006,,,18-11-2015,False,11,erfpacht,,1,False,€ 107 per maand,,,False,False,,True,c.v.-ketel,c.v.-ketel,False,,85.0,,False,,False,,Amsterdam,False,3,,"aan water, aan rustige weg, in woonwijk en vrij uitzicht",http://www.funda.nl/koop/verkocht/amsterdam/appartement-49667802-oeverpad-154/,2,10,,,parkeerkelder en parkeerplaats,2006,,1068_154_49667802,€ 239.000,1 woonlaag,,,,230 m³,,afgekocht tot 01-12-2054,True,,False,verkocht,,2006,,14-4-2016,,0,,1,a,,plat dak bedekt met bitumineuze dakbedekking,1068,a,False
