PartitionKey,RowKey,Timestamp,aangeboden_sinds,achterom,achtertuin,aparte_toiletten,badkamers,badkamervoorzieningen,balkon,bouwjaar,bouwperiode_end,bouwperiode_start,buitenruimte_oppervlakte,cv_ketel,dakterras,energielabel,externe_bergruimte_oppervlakte,frans_balkon,garage_text,gemeente,huisnummer,inhoud,insertion_date,isolatie,kamers,kelder,keurmerken,kosten_koper,ligging,ligging_tuin,looptijd,parkeergelegenheid,patio,periodieke_bijdrage,plaats,postcode,postcode_regio,postcode_wijk,schuur_of_berging,slaapkamers,soort_bouw,soort_dak,soort_woning,specifiek,straat,toegankelijkheid,tuin_rondom,url,verdieping,verkocht,verkoopdatum,verwarming,vliering,voortuin,voorzieningen,vraagprijs,warm_water,woningtype,woonlagen,woonoppervlakte,zijtuin,zolder,zonneterras,zonneterras_breedte,zonneterras_diepte,zonneterras_oppervlakte,inpandige_ruimte_oppervlakte,achtertuin_breedte,achtertuin_diepte,achtertuin_oppervlakte,eigendomssituatie,kosten_erfpacht,perceel_oppervlakte,voortuin_breedte,voortuin_diepte,voortuin_oppervlakte,eind_datum_erfpacht,zijtuin_breedte,zijtuin_diepte,zijtuin_oppervlakte,patio_breedte,patio_diepte,patio_oppervlakte
Utrecht,3511_100_49761764,2016-10-31T08:42:53.514Z,2016-03-11T00:00:00.000Z,false,false,1,1,"jacuzzi, ligbad, douche en toilet",true,1997,1997,1997,28,,true,c,5,false,,Utrecht,100,270,2016-10-31T08:42:53.000Z,"dakisolatie, muurisolatie, vloerisolatie en dubbel glas",3,false,,true,"aan water, aan drukke weg, in centrum, in woonwijk, vrij uitzicht, open ligging en aan vaarwater",W,12 dagen,,false,192,false,3511 GV,35,3511,box,2,bestaande bouw,plat dak bedekt met bitumineuze dakbedekking,penthouse (appartement),,Catharijnesingel,,false,http://www.funda.nl/koop/verkocht/utrecht/appartement-49761764-catharijnesingel-100-ga/,5,true,2016-03-22T00:00:00.000Z,stadsverwarming,false,false,"lift, mechanische ventilatie en tv kabel",375000,centrale voorziening,appartement,5,90,false,false,true,1.9,10,19,,,,,,,,,,,,,,,,,
Utrecht,3511_101_49604091,2016-10-31T08:49:15.894Z,2016-01-19T00:00:00.000Z,false,false,,,,true,1991,1991,1991,12,,false,c,6,false,parkeerkelder en parkeerplaats,Utrecht,101,480,2016-10-31T08:49:16.000Z,"dakisolatie, muurisolatie, vloerisolatie en dubbel glas",4,false,,true,"aan water, aan drukke weg, in centrum, in woonwijk, vrij uitzicht, open ligging en aan vaarwater",,2 maanden,"betaald parkeren, parkeergarage en parkeervergunningen",false,285,false,3511 GV,35,3511,box,3,bestaande bouw,plat dak bedekt met bitumineuze dakbedekking,portiekflat (appartement),,Catharijnesingel,,false,http://www.funda.nl/koop/verkocht/utrecht/appartement-49604091-catharijnesingel-101-c/,2,true,2016-03-21T00:00:00.000Z,stadsverwarming,false,false,"lift, mechanische ventilatie en tv kabel",395000,centrale voorziening,appartement,3,147,false,false,false,,,,8,,,,,,,,,,,,,,,,
Utrecht,3511_102_49575279,2016-10-31T08:55:11.382Z,2015-08-22T00:00:00.000Z,false,false,1,1,douche en toilet,false,1700,1700,1700,,,false,g,,false,,Utrecht,102,380,2016-10-31T08:55:11.000Z,,4,false,,true,in centrum,,6½ maand,,false,180,true,3511 VV,35,3511,,3,bestaande bouw,zadeldak bedekt met dakpannen,bovenwoning (appartement),monumentaal pand,Springweg,,false,http://www.funda.nl/koop/verkocht/utrecht/appartement-49575279-springweg-102-a/,,true,2016-03-14T00:00:00.000Z,c.v.-ketel,false,false,,460000,c.v.-ketel,appartement,3,123,false,false,false,,,,30,,,,,,,,,,,,,,,,
Utrecht,3511_10_49524901,2016-10-31T09:06:09.728Z,2015-10-16T00:00:00.000Z,false,true,1,1,douche,false,1906,1906,1906,8,,true,e,,false,,Utrecht,10,230,2016-10-31T09:06:09.000Z,gedeeltelijk dubbel glas,3,false,,true,in centrum,Z,3 weken,,false,,false,3511 RS,35,3511,,2,bestaande bouw,,"eengezinswoning, tussenwoning",,Bergstraat,,false,http://www.funda.nl/koop/verkocht/utrecht/huis-49524901-bergstraat-10/,,true,2015-11-05T00:00:00.000Z,geen verwarming,false,false,dakraam,225000,,huis,3,76,false,false,false,,,,,4,5,20,erfpacht,0,75,,,,,,,,,,
Utrecht,3511_110_49771420,2016-10-31T08:50:34.017Z,2016-03-18T00:00:00.000Z,true,true,1,1,douche en toilet,true,1900,1900,1900,5,,false,f,,false,,Utrecht,110,367,2016-10-31T08:50:34.000Z,gedeeltelijk dubbel glas en voorzetramen,8,true,,true,"in centrum, in woonwijk, vrij uitzicht en aan vaarwater",ZW,3 weken,betaald parkeren en parkeervergunningen,false,,false,3511 GW,35,3511,,4,bestaande bouw,samengesteld dak bedekt met dakpannen,"herenhuis, tussenwoning",monumentaal pand,Catharijnesingel,,false,http://www.funda.nl/koop/verkocht/utrecht/huis-49771420-catharijnesingel-110/,,true,2016-04-12T00:00:00.000Z,stadsverwarming,false,false,tv kabel,375000,elektrische boiler (huur),huis,2,110,false,true,false,,,,,3.8,7.5,29,volle eigendom,0,34,,,,,,,,,,
Utrecht,3511_110_49994749,2016-10-31T08:28:01.267Z,2016-09-29T00:00:00.000Z,false,false,2,1,douche,true,1890,1890,1890,4,,false,c,15,false,,Utrecht,110,550,2016-10-31T08:28:01.000Z,dubbel glas,5,false,,true,in centrum en in woonwijk,,2 weken,parkeergarage,false,352,false,3511 MG,35,3511,inpandig,2,bestaande bouw,,maisonnette (appartement),monumentaal pand,Arthur,,false,http://www.funda.nl/koop/verkocht/utrecht/appartement-49994749-arthur-van-schendelstraat-110-pp/,1,true,2016-10-18T00:00:00.000Z,stadsverwarming,false,false,lift en mechanische ventilatie,585000,centrale voorziening,appartement,2,168,false,false,false,,,,,,,,,,,,,,,,,,,,
Utrecht,3511_111_49951727,2016-10-31T08:26:39.002Z,2016-08-17T00:00:00.000Z,false,false,,1,douche en toilet,false,1904,1904,1904,,,false,g,,false,,Utrecht,111,300,2016-10-31T08:26:39.000Z,,6,false,,true,in centrum,ZW,8 weken,betaald parkeren,false,,true,3511 VM,35,3511,,5,bestaande bouw,zadeldak bedekt met dakpannen,"eengezinswoning, tussenwoning",monument,Springweg,,false,http://www.funda.nl/koop/verkocht/utrecht/huis-49951727-springweg-111/,,true,2016-10-12T00:00:00.000Z,geen verwarming,false,false,,285000,,huis,3,103,false,false,false,,,,,,,,,,52,,,,,,,,,,
Utrecht,3511_112_49455035,2016-10-31T08:59:55.942Z,2015-04-21T00:00:00.000Z,false,false,1,1,ligbad,false,1913,1913,1913,,,false,c,11,false,,Utrecht,112,284,2016-10-31T08:59:56.000Z,volledig geïsoleerd,2,false,,true,aan rustige weg en in woonwijk,NW,8 maanden,betaald parkeren en parkeervergunningen,false,89,false,3511 HG,35,3511,,1,bestaande bouw,plat dak bedekt met bitumineuze dakbedekking,benedenwoning (appartement),,Nicolaas,,false,http://www.funda.nl/koop/verkocht/utrecht/appartement-49455035-nicolaas-beetsstraat-112/,0,true,2015-12-25T00:00:00.000Z,stadsverwarming,false,true,mechanische ventilatie,239000,centrale voorziening,appartement,1,64,false,false,false,,,,,,,,,,,9,3.48,30,,,,,,,
Utrecht,3511_114_49533126,2016-10-31T09:04:05.061Z,2015-10-28T00:00:00.000Z,false,false,1,1,"ligbad, douche en toilet",true,1890,1890,1890,7,,false,b,10,false,,Utrecht,114,370,2016-10-31T09:04:05.000Z,volledig geïsoleerd,4,false,,true,"aan rustige weg, in centrum en in woonwijk",,8 weken,"betaald parkeren, openbaar parkeren en parkeervergunningen",false,165,false,3511 MG,35,3511,box,2,bestaande bouw,,maisonnette,monument en monumentaal pand,Arthur,,false,http://www.funda.nl/koop/verkocht/utrecht/appartement-49533126-arthur-van-schendelstraat-114/,2,true,2015-12-23T00:00:00.000Z,stadsverwarming en vloerverwarming gedeeltelijk,false,false,lift en mechanische ventilatie,425000,centrale voorziening,appartement,5,100,false,false,false,,,,,,,,erfpacht,0,,,,,,,,,,,
Utrecht,3511_115_49614921,2016-10-31T08:53:53.534Z,2016-01-23T00:00:00.000Z,false,false,1,1,ligbad en douche,false,1991,1991,1991,6,,false,c,5,false,,Utrecht,115,255,2016-10-31T08:53:53.000Z,volledig geïsoleerd,2,false,,true,aan rustige weg en in woonwijk,,2 weken,betaald parkeren,false,113,false,3511 HV,35,3511,box,1,bestaande bouw,plat dak bedekt met bitumineuze dakbedekking,galerijflat (appartement),,Hartingstraat,,false,http://www.funda.nl/koop/verkocht/utrecht/appartement-49614921-hartingstraat-115/,2,true,2016-02-09T00:00:00.000Z,stadsverwarming,false,false,"mechanische ventilatie, tv kabel, lift en schuifpui",263000,centrale voorziening,appartement,5,84,false,false,false,,,,,,,,erfpacht,0,,,,,2040-02-01T00:00:00.000Z,,,,,,
